city,anchor,reference_usd,db_usd,source,note,abs_err,pct_err,ape
Lisbon,inexp_meal_1p,17.16100013229263,11.0,Numbeo Jul-2026,EUR15.00 (range 12-20),-6.1610001322926315,-35.90117175454826,35.90117175454826
Lisbon,midrange_meal_2p,62.92366715173965,50.0,Numbeo Jul-2026,EUR55.00 (range 40-80),-12.92366715173965,-20.538642670927597,20.538642670927597
Lisbon,beer,3.4322000264585264,3.0,Numbeo Jul-2026,EUR3.00 draft pint,-0.4322000264585264,-12.592506938020355,12.592506938020355
Lisbon,coffee,2.9402513559994707,1.5,Numbeo Jul-2026,EUR2.57 cappuccino,-1.4402513559994707,-48.98395346577063,48.98395346577063
Prague,coffee,3.768956052387882,3.2,Numbeo Jul-2026,80.35 CZK cappuccino,-0.5689560523878816,-15.095852657326969,15.095852657326969
Prague,beer,2.814404021695992,2.8,Local trade 2026,"55-65 CZK half-litre, midpoint",-0.014404021695991975,-0.5117965148199279,0.5117965148199279
Prague,inexp_meal_1p,9.381346738986638,9.0,Local trade 2026,derived from 180-250 CZK main,-0.38134673898663785,-4.064946639290624,4.064946639290624
Hanoi,coffee,1.75,1.5,HikersBay 2026,1.70-1.80 USD cappuccino,-0.25,-14.285714285714286,14.285714285714286
Hanoi,inexp_meal_1p,1.9,2.0,World-Prices 2026,cheap eatery,0.10000000000000009,5.263157894736847,5.263157894736847
